Id,Nodes,Label
14952,Detection of stealthy false data injection attacks against networked control systems via active data modification,Detection of stealthy false data injection attacks against networked control systems via active data modification
14953,Discovering high utility-occupancy patterns from uncertain data,Discovering high utility-occupancy patterns from uncertain data
14954,Deep learning for plasticity and thermo-viscoplasticity,Deep learning for plasticity and thermo-viscoplasticity
14955,Deep attributed network representation learning of complex coupling and interaction,Deep attributed network representation learning of complex coupling and interaction
14956,"Big Data Analytics as a mediator in Lean, Agile, Resilient, and Green (LARG) practices effects on sustainable supply chains","Big Data Analytics as a mediator in Lean, Agile, Resilient, and Green (LARG) practices effects on sustainable supply chains"
14957,"Machine and Deep Learning towards COVID-19 Diagnosis and Treatment: Survey, Challenges, and Future Directions","Machine and Deep Learning towards COVID-19 Diagnosis and Treatment: Survey, Challenges, and Future Directions"
14958,Predicting Symptoms of Depression and Anxiety Using Smartphone and Wearable Data,Predicting Symptoms of Depression and Anxiety Using Smartphone and Wearable Data
14959,SySeVR: A Framework for Using Deep Learning to Detect Software Vulnerabilities,SySeVR: A Framework for Using Deep Learning to Detect Software Vulnerabilities
14960,A point-cloud deep learning framework for prediction of fluid flow fields on irregular geometries,A point-cloud deep learning framework for prediction of fluid flow fields on irregular geometries
14961,On Short-Term Load Forecasting Using Machine Learning Techniques and a Novel Parallel Deep LSTM-CNN Approach,On Short-Term Load Forecasting Using Machine Learning Techniques and a Novel Parallel Deep LSTM-CNN Approach
14962,Deep learning for diagnosis of COVID-19 using 3D CT scans,Deep learning for diagnosis of COVID-19 using 3D CT scans
14963,A Survey of Forex and Stock Price Prediction Using Deep Learning,A Survey of Forex and Stock Price Prediction Using Deep Learning
14964,Automatic Fetal Ultrasound Standard Plane Recognition Based on Deep Learning and IIoT,Automatic Fetal Ultrasound Standard Plane Recognition Based on Deep Learning and IIoT
14965,A Proposed Sentiment Analysis Deep Learning Algorithm for Analyzing COVID-19 Tweets,A Proposed Sentiment Analysis Deep Learning Algorithm for Analyzing COVID-19 Tweets
14966,A hybrid model integrating deep learning with investor sentiment analysis for stock price prediction,A hybrid model integrating deep learning with investor sentiment analysis for stock price prediction
14967,The olfactory nerve is not a likely route to brain infection in COVID-19: a critical review of data from humans and animal models,The olfactory nerve is not a likely route to brain infection in COVID-19: a critical review of data from humans and animal models
14968,Deep-learning models for the detection and incidence prediction of chronic kidney disease and type 2 diabetes from retinal fundus images,Deep-learning models for the detection and incidence prediction of chronic kidney disease and type 2 diabetes from retinal fundus images
14969,"gEAR: Gene Expression Analysis Resource portal for community-driven, multi-omic data exploration","gEAR: Gene Expression Analysis Resource portal for community-driven, multi-omic data exploration"
14970,Review on<scp>COVID</scp>‐19 diagnosis models based on machine learning and deep learning approaches,Review on<scp>COVID</scp>‐19 diagnosis models based on machine learning and deep learning approaches
14971,A Survey of Community Detection Approaches: From Statistical Modeling to Deep Learning,A Survey of Community Detection Approaches: From Statistical Modeling to Deep Learning
14972,Deep learning enables fast and dense single-molecule localization with high accuracy,Deep learning enables fast and dense single-molecule localization with high accuracy
14973,“Invisible Sportswomen”: The Sex Data Gap in Sport and Exercise Science Research,“Invisible Sportswomen”: The Sex Data Gap in Sport and Exercise Science Research
14974,"An Integrated Cluster Detection, Optimization, and Interpretation Approach for Financial Data","An Integrated Cluster Detection, Optimization, and Interpretation Approach for Financial Data"
14975,Associations between HIV infection and clinical spectrum of COVID-19: a population level analysis based on US National COVID Cohort Collaborative (N3C) data,Associations between HIV infection and clinical spectrum of COVID-19: a population level analysis based on US National COVID Cohort Collaborative (N3C) data
14976,Uncertainty estimation for stereo matching based on evidential deep learning,Uncertainty estimation for stereo matching based on evidential deep learning
14977,Review the state-of-the-art technologies of semantic segmentation based on deep learning,Review the state-of-the-art technologies of semantic segmentation based on deep learning
14978,Policy stringency and mental health during the COVID-19 pandemic: a longitudinal analysis of data from 15 countries,Policy stringency and mental health during the COVID-19 pandemic: a longitudinal analysis of data from 15 countries
14979,Integrated phylogenomics and fossil data illuminate the evolution of beetles,Integrated phylogenomics and fossil data illuminate the evolution of beetles
14980,"The Johns Hopkins University Center for Systems Science and Engineering COVID-19 Dashboard: data collection process, challenges faced, and lessons learned","The Johns Hopkins University Center for Systems Science and Engineering COVID-19 Dashboard: data collection process, challenges faced, and lessons learned"
14981,Deep Learning for Human Affect Recognition: Insights and New Developments,Deep Learning for Human Affect Recognition: Insights and New Developments
14982,A Blockchain-Enabled Deduplicatable Data Auditing Mechanism for Network Storage Services,A Blockchain-Enabled Deduplicatable Data Auditing Mechanism for Network Storage Services
14983,Development and evaluation of deep learning–based segmentation of histologic structures in the kidney cortex with multiple histologic stains,Development and evaluation of deep learning–based segmentation of histologic structures in the kidney cortex with multiple histologic stains
14984,Dark Energy Survey Year 3 Results: Photometric Data Set for Cosmology,Dark Energy Survey Year 3 Results: Photometric Data Set for Cosmology
14985,Single-cell microfluidic impedance cytometry: from raw signals to cell phenotypes using data analytics,Single-cell microfluidic impedance cytometry: from raw signals to cell phenotypes using data analytics
14986,Comparative study of four greenness assessment tools for selection of greenest analytical method for assay of hyoscine <i>N</i>-butyl bromide,Comparative study of four greenness assessment tools for selection of greenest analytical method for assay of hyoscine <i>N</i>-butyl bromide
14987,Data sovereignty: A review,Data sovereignty: A review
14988,Deep learning architecture based on segmented fundus image features for classification of diabetic retinopathy,Deep learning architecture based on segmented fundus image features for classification of diabetic retinopathy
14989,Hospital length of stay for COVID-19 patients: Data-driven methods for forward planning,Hospital length of stay for COVID-19 patients: Data-driven methods for forward planning
14990,Uncertainty quantification in skin cancer classification using three-way decision-based Bayesian deep learning,Uncertainty quantification in skin cancer classification using three-way decision-based Bayesian deep learning
14991,Applications of deep learning techniques for automated multiple sclerosis detection using magnetic resonance imaging: A review,Applications of deep learning techniques for automated multiple sclerosis detection using magnetic resonance imaging: A review
14992,"The role of lipids in exosome biology and intercellular communication: Function, analytics and applications","The role of lipids in exosome biology and intercellular communication: Function, analytics and applications"
14993,Deep learning-based artificial intelligence model to assist thyroid nodule diagnosis and management: a multicentre diagnostic study,Deep learning-based artificial intelligence model to assist thyroid nodule diagnosis and management: a multicentre diagnostic study
14994,exoplanet: Gradient-based probabilistic inference for exoplanet data other astronomical time series,exoplanet: Gradient-based probabilistic inference for exoplanet data other astronomical time series
14995,The impact of site-specific digital histology signatures on deep learning model accuracy and bias,The impact of site-specific digital histology signatures on deep learning model accuracy and bias
14996,"An introduction to Deep Learning in Natural Language Processing: Models, techniques, and tools","An introduction to Deep Learning in Natural Language Processing: Models, techniques, and tools"
14997,Deep learning models for solar irradiance forecasting: A comprehensive review,Deep learning models for solar irradiance forecasting: A comprehensive review
14998,Channel pruned YOLO V5s-based deep learning approach for rapid and accurate apple fruitlet detection before fruit thinning,Channel pruned YOLO V5s-based deep learning approach for rapid and accurate apple fruitlet detection before fruit thinning
14999,Pancreatic cancer evolution and heterogeneity: integrating omics and clinical data,Pancreatic cancer evolution and heterogeneity: integrating omics and clinical data
15000,Percutaneous coronary intervention with drug-eluting stents versus coronary artery bypass grafting in left main coronary artery disease: an individual patient data meta-analysis,Percutaneous coronary intervention with drug-eluting stents versus coronary artery bypass grafting in left main coronary artery disease: an individual patient data meta-analysis
15001,A review on deep reinforcement learning for fluid mechanics,A review on deep reinforcement learning for fluid mechanics
15002,Deep-Learning-Enabled Security Issues in the Internet of Things,Deep-Learning-Enabled Security Issues in the Internet of Things
15003,DeepEDN: A Deep-Learning-Based Image Encryption and Decryption Network for Internet of Medical Things,DeepEDN: A Deep-Learning-Based Image Encryption and Decryption Network for Internet of Medical Things
15004,"Industrial collaborative agglomeration, marketization, and green innovation: Evidence from China’s provincial panel data","Industrial collaborative agglomeration, marketization, and green innovation: Evidence from China’s provincial panel data"
15005,"Twisted bilayer graphene. V. Exact analytic many-body excitations in Coulomb Hamiltonians: Charge gap, Goldstone modes, and absence of Cooper pairing","Twisted bilayer graphene. V. Exact analytic many-body excitations in Coulomb Hamiltonians: Charge gap, Goldstone modes, and absence of Cooper pairing"
15006,Embeddings from deep learning transfer GO annotations beyond homology,Embeddings from deep learning transfer GO annotations beyond homology
15007,Traffic accident detection and condition analysis based on social networking data,Traffic accident detection and condition analysis based on social networking data
15008,Deep learning and the electrocardiogram: review of the current state-of-the-art,Deep learning and the electrocardiogram: review of the current state-of-the-art
15009,Analysis of Using Blockchain to Protect the Privacy of Drone Big Data,Analysis of Using Blockchain to Protect the Privacy of Drone Big Data
15010,Deep learning based forecasting of photovoltaic power generation by incorporating domain knowledge,Deep learning based forecasting of photovoltaic power generation by incorporating domain knowledge
15011,Deep-Learning Forecasting Method for Electric Power Load via Attention-Based Encoder-Decoder with Bayesian Optimization,Deep-Learning Forecasting Method for Electric Power Load via Attention-Based Encoder-Decoder with Bayesian Optimization
15012,Big data driven supply chain design and applications for blockchain: An action research using case study approach,Big data driven supply chain design and applications for blockchain: An action research using case study approach
15013,Proteome Discoverer—A Community Enhanced Data Processing Suite for Protein Informatics,Proteome Discoverer—A Community Enhanced Data Processing Suite for Protein Informatics
15014,Deep learning in multi-object detection and tracking: state of the art,Deep learning in multi-object detection and tracking: state of the art
15015,"A deep-learning pipeline for the diagnosis and discrimination of viral, non-viral and COVID-19 pneumonia from chest X-ray images","A deep-learning pipeline for the diagnosis and discrimination of viral, non-viral and COVID-19 pneumonia from chest X-ray images"
15016,Geometric deep learning enables 3D kinematic profiling across species and environments,Geometric deep learning enables 3D kinematic profiling across species and environments
15017,"Prevalence of mental disorders in school children and adolescents in China: diagnostic data from detailed clinical assessments of 17,524 individuals","Prevalence of mental disorders in school children and adolescents in China: diagnostic data from detailed clinical assessments of 17,524 individuals"
15018,A path planning strategy unified with a COLREGS collision avoidance function based on deep reinforcement learning and artificial potential field,A path planning strategy unified with a COLREGS collision avoidance function based on deep reinforcement learning and artificial potential field
15019,AlphaFold heralds a data-driven revolution in biology and medicine,AlphaFold heralds a data-driven revolution in biology and medicine
15020,ADTT: A Highly Efficient Distributed Tensor-Train Decomposition Method for IIoT Big Data,ADTT: A Highly Efficient Distributed Tensor-Train Decomposition Method for IIoT Big Data
15021,Deep Reinforcement Learning for Stochastic Computation Offloading in Digital Twin Networks,Deep Reinforcement Learning for Stochastic Computation Offloading in Digital Twin Networks
15022,Chest CT in COVID-19 at the ED: Validation of the COVID-19 Reporting and Data System (CO-RADS) and CT Severity Score,Chest CT in COVID-19 at the ED: Validation of the COVID-19 Reporting and Data System (CO-RADS) and CT Severity Score
15023,On the class overlap problem in imbalanced data classification,On the class overlap problem in imbalanced data classification
15024,Visual place recognition: A survey from deep learning perspective,Visual place recognition: A survey from deep learning perspective
15025,Biometric User Identification Based on Human Activity Recognition Using Wearable Sensors: An Experiment Using Deep Learning Models,Biometric User Identification Based on Human Activity Recognition Using Wearable Sensors: An Experiment Using Deep Learning Models
15026,RETRACTED: Deep learning for real-time semantic segmentation: Application in ultrasound imaging,RETRACTED: Deep learning for real-time semantic segmentation: Application in ultrasound imaging
15027,From Hydrometeorology to River Water Quality: Can a Deep Learning Model Predict Dissolved Oxygen at the Continental Scale?,From Hydrometeorology to River Water Quality: Can a Deep Learning Model Predict Dissolved Oxygen at the Continental Scale?
15028,Linked electronic health records for research on a nationwide cohort of more than 54 million people in England: data resource,Linked electronic health records for research on a nationwide cohort of more than 54 million people in England: data resource
15029,Machine Learning and Deep Learning Methods for Skin Lesion Classification and Diagnosis: A Systematic Review,Machine Learning and Deep Learning Methods for Skin Lesion Classification and Diagnosis: A Systematic Review
15030,A deep learning based approach for automatic detection of COVID-19 cases using chest X-ray images,A deep learning based approach for automatic detection of COVID-19 cases using chest X-ray images
15031,Deep learning for neuroimaging-based diagnosis and rehabilitation of Autism Spectrum Disorder: A review,Deep learning for neuroimaging-based diagnosis and rehabilitation of Autism Spectrum Disorder: A review
15032,KNN-BLOCK DBSCAN: Fast Clustering for Large-Scale Data,KNN-BLOCK DBSCAN: Fast Clustering for Large-Scale Data
15033,Deep Learning Based Caching for Self-Driving Cars in Multi-Access Edge Computing,Deep Learning Based Caching for Self-Driving Cars in Multi-Access Edge Computing
15034,Stay-at-home works to fight against COVID-19: International evidence from Google mobility data,Stay-at-home works to fight against COVID-19: International evidence from Google mobility data
15035,Assessing the recent impact of COVID-19 on carbon emissions from China using domestic economic data,Assessing the recent impact of COVID-19 on carbon emissions from China using domestic economic data
15036,A Review of the Deep Learning Methods for Medical Images Super Resolution Problems,A Review of the Deep Learning Methods for Medical Images Super Resolution Problems
15037,Early dark energy is not excluded by current large-scale structure data,Early dark energy is not excluded by current large-scale structure data
15038,Blockchain-Based Edge Computing Resource Allocation in IoT: A Deep Reinforcement Learning Approach,Blockchain-Based Edge Computing Resource Allocation in IoT: A Deep Reinforcement Learning Approach
15039,Analytical methodologies for the detection of SARS-CoV-2 in wastewater: Protocols and future perspectives,Analytical methodologies for the detection of SARS-CoV-2 in wastewater: Protocols and future perspectives
15040,Traffic flow prediction by an ensemble framework with data denoising and deep learning model,Traffic flow prediction by an ensemble framework with data denoising and deep learning model
15041,Role of interleukin 6 as a predictive factor for a severe course of Covid-19: retrospective data analysis of patients from a long-term care facility during Covid-19 outbreak,Role of interleukin 6 as a predictive factor for a severe course of Covid-19: retrospective data analysis of patients from a long-term care facility during Covid-19 outbreak
15042,Explainable identification and mapping of trees using UAV RGB image and deep learning,Explainable identification and mapping of trees using UAV RGB image and deep learning
15043,Quantifying the transmission advantage associated with N501Y substitution of SARS-CoV-2 in the UK: an early data-driven analysis,Quantifying the transmission advantage associated with N501Y substitution of SARS-CoV-2 in the UK: an early data-driven analysis
15044,DeepCervix: A deep learning-based framework for the classification of cervical cells using hybrid deep feature fusion techniques,DeepCervix: A deep learning-based framework for the classification of cervical cells using hybrid deep feature fusion techniques
15045,Leaching and extraction of additives from plastic pollution to inform environmental risk: A multidisciplinary review of analytical approaches,Leaching and extraction of additives from plastic pollution to inform environmental risk: A multidisciplinary review of analytical approaches
15046,Usage impact on data center electricity needs: A system dynamic forecasting model,Usage impact on data center electricity needs: A system dynamic forecasting model
15047,Evaluating eligibility criteria of oncology trials using real-world data and AI,Evaluating eligibility criteria of oncology trials using real-world data and AI
15048,A new mobile application of agricultural pests recognition using deep learning in cloud computing system,A new mobile application of agricultural pests recognition using deep learning in cloud computing system
15049,Opposition grasshopper optimizer based multimedia data distribution using user evaluation strategy,Opposition grasshopper optimizer based multimedia data distribution using user evaluation strategy
15050,Projecting contact matrices in 177 geographical regions: An update and comparison with empirical data for the COVID-19 era,Projecting contact matrices in 177 geographical regions: An update and comparison with empirical data for the COVID-19 era
15051,SARS-CoV-2 wastewater surveillance data can predict hospitalizations and ICU admissions,SARS-CoV-2 wastewater surveillance data can predict hospitalizations and ICU admissions
15052,"Green data analytics, blockchain technology for sustainable development, and sustainable supply chain practices: evidence from small and medium enterprises","Green data analytics, blockchain technology for sustainable development, and sustainable supply chain practices: evidence from small and medium enterprises"
15053,Nanozyme-Enabled Analytical Chemistry,Nanozyme-Enabled Analytical Chemistry
15054,Breast Cancer Classification from Ultrasound Images Using Probability-Based Optimal Deep Learning Feature Fusion,Breast Cancer Classification from Ultrasound Images Using Probability-Based Optimal Deep Learning Feature Fusion
15055,Haplotype-resolved assembly of diploid genomes without parental data,Haplotype-resolved assembly of diploid genomes without parental data
15056,OPTN/SRTR 2020 Annual Data Report: Heart,OPTN/SRTR 2020 Annual Data Report: Heart
15057,Fully-automated and ultra-fast cell-type identification using specific marker combinations from single-cell transcriptomic data,Fully-automated and ultra-fast cell-type identification using specific marker combinations from single-cell transcriptomic data
15058,Data-Driven Science and Engineering,Data-Driven Science and Engineering
15059,"A survey on data compression techniques: From the perspective of data quality, coding schemes, data type and applications","A survey on data compression techniques: From the perspective of data quality, coding schemes, data type and applications"
15060,Air pollution exposure and COVID-19: A look at mortality in Mexico City using individual-level data,Air pollution exposure and COVID-19: A look at mortality in Mexico City using individual-level data
15061,COVID-AL: The diagnosis of COVID-19 with deep active learning,COVID-AL: The diagnosis of COVID-19 with deep active learning
15062,Weed Identification Using Deep Learning and Image Processing in Vegetable Plantation,Weed Identification Using Deep Learning and Image Processing in Vegetable Plantation
15063,Data and Policy to Guide Opening Schools Safely to Limit the Spread of SARS-CoV-2 Infection,Data and Policy to Guide Opening Schools Safely to Limit the Spread of SARS-CoV-2 Infection
15064,A deep learning framework for high-throughput mechanism-driven phenotype compound screening and its application to COVID-19 drug repurposing,A deep learning framework for high-throughput mechanism-driven phenotype compound screening and its application to COVID-19 drug repurposing
15065,"Food anaphylaxis in the United Kingdom: analysis of national data, 1998-2018","Food anaphylaxis in the United Kingdom: analysis of national data, 1998-2018"
15066,Tree species classification from airborne hyperspectral and LiDAR data using 3D convolutional neural networks,Tree species classification from airborne hyperspectral and LiDAR data using 3D convolutional neural networks
15067,Sentinel SAR-optical fusion for crop type mapping using deep learning and Google Earth Engine,Sentinel SAR-optical fusion for crop type mapping using deep learning and Google Earth Engine
15068,A Study to Find Facts Behind Preprocessing on Deep Learning Algorithms,A Study to Find Facts Behind Preprocessing on Deep Learning Algorithms
15069,"Dismantling, optimising, and personalising internet cognitive behavioural therapy for depression: a systematic review and component network meta-analysis using individual participant data","Dismantling, optimising, and personalising internet cognitive behavioural therapy for depression: a systematic review and component network meta-analysis using individual participant data"
15070,DeepSweep: An Evaluation Framework for Mitigating DNN Backdoor Attacks using Data Augmentation,DeepSweep: An Evaluation Framework for Mitigating DNN Backdoor Attacks using Data Augmentation
15071,"The effects of business analytics capability on circular economy implementation, resource orchestration capability, and firm performance","The effects of business analytics capability on circular economy implementation, resource orchestration capability, and firm performance"
15072,"A review on deep learning in machining and tool monitoring: methods, opportunities, and challenges","A review on deep learning in machining and tool monitoring: methods, opportunities, and challenges"
15073,Machine learning and structural health monitoring overview with emerging technology and high-dimensional data source highlights,Machine learning and structural health monitoring overview with emerging technology and high-dimensional data source highlights
15074,"Using Wastewater Surveillance Data to Support the COVID-19 Response — United States, 2020–2021","Using Wastewater Surveillance Data to Support the COVID-19 Response — United States, 2020–2021"
15075,"Revisiting the Role of Fiscal Policy, Financial Development, and Foreign Direct Investment in Reducing Environmental Pollution during Globalization Mode: Evidence from Linear and Nonlinear Panel Data Approaches","Revisiting the Role of Fiscal Policy, Financial Development, and Foreign Direct Investment in Reducing Environmental Pollution during Globalization Mode: Evidence from Linear and Nonlinear Panel Data Approaches"
15076,"Automatic Bunch Detection in White Grape Varieties Using YOLOv3, YOLOv4, and YOLOv5 Deep Learning Algorithms","Automatic Bunch Detection in White Grape Varieties Using YOLOv3, YOLOv4, and YOLOv5 Deep Learning Algorithms"
15077,Machine and deep learning approaches for cancer drug repurposing,Machine and deep learning approaches for cancer drug repurposing
15078,CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories,CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories
15079,A Review on Deep Learning Techniques for Video Prediction,A Review on Deep Learning Techniques for Video Prediction
15080,Deep learning-based point-scanning super-resolution imaging,Deep learning-based point-scanning super-resolution imaging
15081,NOMA Assisted Multi-Task Multi-Access Mobile Edge Computing via Deep Reinforcement Learning for Industrial Internet of Things,NOMA Assisted Multi-Task Multi-Access Mobile Edge Computing via Deep Reinforcement Learning for Industrial Internet of Things
15082,The Uchuu simulations: Data Release 1 and dark matter halo concentrations,The Uchuu simulations: Data Release 1 and dark matter halo concentrations
15083,BLOCK-DBSCAN: Fast clustering for large scale data,BLOCK-DBSCAN: Fast clustering for large scale data
15084,Measuring Domain Shift for Deep Learning in Histopathology,Measuring Domain Shift for Deep Learning in Histopathology
15085,"Statistical Postprocessing for Weather Forecasts: Review, Challenges, and Avenues in a Big Data World","Statistical Postprocessing for Weather Forecasts: Review, Challenges, and Avenues in a Big Data World"
15086,Prediction of chemical reaction yields using deep learning,Prediction of chemical reaction yields using deep learning
15087,SceneNet: Remote sensing scene classification deep learning network using multi-objective neural evolution architecture search,SceneNet: Remote sensing scene classification deep learning network using multi-objective neural evolution architecture search
15088,Use of Physiological Data From a Wearable Device to Identify SARS-CoV-2 Infection and Symptoms and Predict COVID-19 Diagnosis: Observational Study,Use of Physiological Data From a Wearable Device to Identify SARS-CoV-2 Infection and Symptoms and Predict COVID-19 Diagnosis: Observational Study
15089,OPTN/SRTR 2019 Annual Data Report: Heart,OPTN/SRTR 2019 Annual Data Report: Heart
15090,Computation and data driven discovery of topological phononic materials,Computation and data driven discovery of topological phononic materials
15091,Drone Deep Reinforcement Learning: A Review,Drone Deep Reinforcement Learning: A Review
15092,Analytical guidelines to increase the value of community science data: An example using eBird data to estimate species distributions,Analytical guidelines to increase the value of community science data: An example using eBird data to estimate species distributions
15093,Multimodal deep learning with feature level fusion for identification of choroidal neovascularization activity in age‐related macular degeneration,Multimodal deep learning with feature level fusion for identification of choroidal neovascularization activity in age‐related macular degeneration
15094,From low-cost sensors to high-quality data: A summary of challenges and best practices for effectively calibrating low-cost particulate matter mass sensors,From low-cost sensors to high-quality data: A summary of challenges and best practices for effectively calibrating low-cost particulate matter mass sensors
15095,Data sharing practices and data availability upon request differ across scientific disciplines,Data sharing practices and data availability upon request differ across scientific disciplines
15096,A Comprehensive Survey on Community Detection With Deep Learning,A Comprehensive Survey on Community Detection With Deep Learning
15097,Efficient Identity-Based Provable Multi-Copy Data Possession in Multi-Cloud Storage,Efficient Identity-Based Provable Multi-Copy Data Possession in Multi-Cloud Storage
15098,Synthetic Data for Deep Learning,Synthetic Data for Deep Learning
15099,Estimation of diaphragm wall deflections for deep braced excavation in anisotropic clays using ensemble learning,Estimation of diaphragm wall deflections for deep braced excavation in anisotropic clays using ensemble learning
15100,Fairness in Deep Learning: A Computational Perspective,Fairness in Deep Learning: A Computational Perspective
15101,Naturalistic Data-Driven Predictive Energy Management for Plug-In Hybrid Electric Vehicles,Naturalistic Data-Driven Predictive Energy Management for Plug-In Hybrid Electric Vehicles
15102,Methane retrieved from TROPOMI: improvement of the data product and validation of the first 2 years of measurements,Methane retrieved from TROPOMI: improvement of the data product and validation of the first 2 years of measurements
15103,Semisupervised Graph Convolution Deep Belief Network for Fault Diagnosis of Electormechanical System With Limited Labeled Data,Semisupervised Graph Convolution Deep Belief Network for Fault Diagnosis of Electormechanical System With Limited Labeled Data
15104,Rapid triage for COVID-19 using routine clinical data for patients attending hospital: development and prospective validation of an artificial intelligence screening test,Rapid triage for COVID-19 using routine clinical data for patients attending hospital: development and prospective validation of an artificial intelligence screening test
15105,Secure Healthcare Data Aggregation and Transmission in IoT—A Survey,Secure Healthcare Data Aggregation and Transmission in IoT—A Survey
15106,Federated learning improves site performance in multicenter deep learning without data sharing,Federated learning improves site performance in multicenter deep learning without data sharing
15107,"Remote data collection for public health research in a COVID-19 era: ethical implications, challenges and opportunities","Remote data collection for public health research in a COVID-19 era: ethical implications, challenges and opportunities"
15108,On the variable-order fractional memristor oscillator: Data security applications and synchronization using a type-2 fuzzy disturbance observer-based robust control,On the variable-order fractional memristor oscillator: Data security applications and synchronization using a type-2 fuzzy disturbance observer-based robust control
15109,Using outcome data from one thousand mosaic embryo transfers to formulate an embryo ranking system for clinical use,Using outcome data from one thousand mosaic embryo transfers to formulate an embryo ranking system for clinical use
15110,A Fast Hybrid Feature Selection Based on Correlation-Guided Clustering and Particle Swarm Optimization for High-Dimensional Data,A Fast Hybrid Feature Selection Based on Correlation-Guided Clustering and Particle Swarm Optimization for High-Dimensional Data
15111,Deep learning and machine vision for food processing: A survey,Deep learning and machine vision for food processing: A survey
15112,Interpretable survival prediction for colorectal cancer using deep learning,Interpretable survival prediction for colorectal cancer using deep learning
15113,TRUST4: immune repertoire reconstruction from bulk and single-cell RNA-seq data,TRUST4: immune repertoire reconstruction from bulk and single-cell RNA-seq data
15114,Diabetic Retinopathy Fundus Image Classification and Lesions Localization System Using Deep Learning,Diabetic Retinopathy Fundus Image Classification and Lesions Localization System Using Deep Learning
15115,Psychosocial impact of the COVID-19 pandemic on 4378 UK healthcare workers and ancillary staff: initial baseline data from a cohort study collected during the first wave of the pandemic,Psychosocial impact of the COVID-19 pandemic on 4378 UK healthcare workers and ancillary staff: initial baseline data from a cohort study collected during the first wave of the pandemic
15116,"Advances in Data Preprocessing for Biomedical Data Fusion: An Overview of the Methods, Challenges, and Prospects","Advances in Data Preprocessing for Biomedical Data Fusion: An Overview of the Methods, Challenges, and Prospects"
15117,Analyzing ecological environment change and associated driving factors in China based on NDVI time series data,Analyzing ecological environment change and associated driving factors in China based on NDVI time series data
15118,The data filtering based multiple‐stage Levenberg–Marquardt algorithm for Hammerstein nonlinear systems,The data filtering based multiple‐stage Levenberg–Marquardt algorithm for Hammerstein nonlinear systems
15119,Model complexity of deep learning: a survey,Model complexity of deep learning: a survey
15120,Pneumonia detection in chest X-ray images using an ensemble of deep learning models,Pneumonia detection in chest X-ray images using an ensemble of deep learning models
15121,Methods of Public Health Research — Strengthening Causal Inference from Observational Data,Methods of Public Health Research — Strengthening Causal Inference from Observational Data
15122,Stochastic optimal scheduling of demand response-enabled microgrids with renewable generations: An analytical-heuristic approach,Stochastic optimal scheduling of demand response-enabled microgrids with renewable generations: An analytical-heuristic approach
15123,Medical image segmentation using deep learning: A survey,Medical image segmentation using deep learning: A survey
15124,A Data Mining Approach for Identifying Predictors of Student Retention from Sophomore to Junior Year,A Data Mining Approach for Identifying Predictors of Student Retention from Sophomore to Junior Year
15125,Collision Avoidance in Pedestrian-Rich Environments With Deep Reinforcement Learning,Collision Avoidance in Pedestrian-Rich Environments With Deep Reinforcement Learning
15126,Multi-DQN: An ensemble of Deep Q-learning agents for stock market forecasting,Multi-DQN: An ensemble of Deep Q-learning agents for stock market forecasting
15127,Portfolio optimization with return prediction using deep learning and machine learning,Portfolio optimization with return prediction using deep learning and machine learning
15128,Big Data Analytics in Building the Competitive Intelligence of Organizations,Big Data Analytics in Building the Competitive Intelligence of Organizations
15129,Small Data Challenges in Big Data Era: A Survey of Recent Progress on Unsupervised and Semi-Supervised Methods,Small Data Challenges in Big Data Era: A Survey of Recent Progress on Unsupervised and Semi-Supervised Methods
15130,Therapeutic effect of berberine on metabolic diseases: Both pharmacological data and clinical evidence,Therapeutic effect of berberine on metabolic diseases: Both pharmacological data and clinical evidence
15131,A comprehensive review on deep learning-based methods for video anomaly detection,A comprehensive review on deep learning-based methods for video anomaly detection
15132,The short-term economic effects of COVID-19 on low-income households in rural Kenya: An analysis using weekly financial household data,The short-term economic effects of COVID-19 on low-income households in rural Kenya: An analysis using weekly financial household data
15133,"Flash flood susceptibility mapping using a novel deep learning model based on deep belief network, back propagation and genetic algorithm","Flash flood susceptibility mapping using a novel deep learning model based on deep belief network, back propagation and genetic algorithm"
15134,SuperPlotsOfData—a web app for the transparent display and quantitative comparison of continuous data from different conditions,SuperPlotsOfData—a web app for the transparent display and quantitative comparison of continuous data from different conditions
15135,Urbanization impacts on flood risks based on urban growth data and coupled flood models,Urbanization impacts on flood risks based on urban growth data and coupled flood models
15136,On semi analytical and numerical simulations for a mathematical biological model; the time-fractional nonlinear Kolmogorov–Petrovskii–Piskunov (KPP) equation,On semi analytical and numerical simulations for a mathematical biological model; the time-fractional nonlinear Kolmogorov–Petrovskii–Piskunov (KPP) equation
15137,Spatial spillover effect of green innovation on economic development quality in China: Evidence from a panel data of 270 prefecture-level and above cities,Spatial spillover effect of green innovation on economic development quality in China: Evidence from a panel data of 270 prefecture-level and above cities
15138,Data-driven fault diagnosis method based on the conversion of erosion operation signals into images and convolutional neural network,Data-driven fault diagnosis method based on the conversion of erosion operation signals into images and convolutional neural network
15139,Sentimental Analysis of COVID-19 Tweets Using Deep Learning Models,Sentimental Analysis of COVID-19 Tweets Using Deep Learning Models
